title,smdName,organizationName,sourceType,sourceUrl,icarUrl,keywords,language
काजरी में बाजरे की फसल पर अनुसंधान,Natural Resource Management,ICAR-Central Arid Zone Research Institute,facebook,https://www.facebook.com/watch/?v=792773651511438,https://krishi.icar.gov.in/video/watch/3882,काजरी में बाजरे की फसल पर अनुसंधान,Hindi
काजरी स्थापना दिवस जोधपुर- Rajasthan DD News,Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=SzEJuFAH3FA,https://krishi.icar.gov.in/video/watch/3881,काजरी स्थापना दिवस जोधपुर- Rajasthan DD News,Hindi
Media Coverage- Institute Foundation Day- 1St India Rajasthan,Natural Resource Management,ICAR-Central Arid Zone Research Institute,facebook,https://www.facebook.com/watch/?v=1043277242798533,https://krishi.icar.gov.in/video/watch/3880,Media Coverage- Institute Foundation Day- 1St India Rajasthan,English
"Foundation Day Celebrations (1st October, 2020)",Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=NHFk7Mulkxo,https://krishi.icar.gov.in/video/watch/3879,ARID zone,English
"Foundation Day Lecture (30 September, 2020)",Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=lMG1N70lA2Q,https://krishi.icar.gov.in/video/watch/3878,"Foundation Day Lecture (30 September, 2020)",English
केंद्रीय शुष्क क्षेत्र अनुसंधान संस्थान (काजरी) के द्वारा कृषि के क्षेत्र में अनुसंधान पर दूरदर्शन किसान की डॉक्यूमेंट्री,Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=9kduSeebTvs,https://krishi.icar.gov.in/video/watch/3877,केंद्रीय शुष्क क्षेत्र अनुसंधान संस्थान (काजरी) के द्वारा कृषि के क्षेत्र में अनुसंधान पर दूरदर्शन किसान की डॉक्यूमेंट्री,Hindi
"जोधपुर एम्स, काजरी और आईआईटी के साइंटिस्टों ने दुनिया के टॉप साइंटिस्टों में अपनी जगह बनाई",Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=Jzv3_AvrYbI,https://krishi.icar.gov.in/video/watch/3876,"जोधपुर एम्स, काजरी और आईआईटी के साइंटिस्टों ने दुनिया के टॉप साइंटिस्टों में अपनी जगह बनाई",Hindi
केंद्रीय शुष्क क्षेत्र अनुसंधान संस्थान-जोधपुर में सब्जियों की पैदावार,Natural Resource Management,ICAR-Central Arid Zone Research Institute,facebook,https://www.facebook.com/watch/?v=765985544019236,https://krishi.icar.gov.in/video/watch/3875,केंद्रीय शुष्क क्षेत्र अनुसंधान संस्थान-जोधपुर में सब्जियों की पैदावार,Hindi
करोना काल के दौरान केंद्रीय शुष्क क्षेत्र अनुसंधान संस्थान जोधपुर के द्वारा किए गए अनुसंधान कार्यों पर एक रिपोर्ट,Natural Resource Management,ICAR-Central Arid Zone Research Institute,facebook,https://www.facebook.com/watch/?v=709993336326556,https://krishi.icar.gov.in/video/watch/3874,करोना काल के दौरान केंद्रीय शुष्क क्षेत्र अनुसंधान संस्थान जोधपुर के द्वारा किए गए अनुसंधान कार्यों पर एक रिपोर्ट,Hindi
"केन्द्रीय शुष्क क्षेत्र अनुसंधान संस्थान, जोधपुर ने शिमला मिर्च पर अनुसंधान किया",Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=fLYuiMiU9zg,https://krishi.icar.gov.in/video/watch/3873,"केन्द्रीय शुष्क क्षेत्र अनुसंधान संस्थान, जोधपुर ने शिमला मिर्च पर अनुसंधान किया",Hindi
केंद्रीय शुष्क क्षेत्र अनुसंधान संस्थान के वैज्ञानिकों ने विकसित की जीरे की नई किस्म,Natural Resource Management,ICAR-Central Arid Zone Research Institute,facebook,https://www.facebook.com/watch/?v=425469598669025,https://krishi.icar.gov.in/video/watch/3872,केंद्रीय शुष्क क्षेत्र अनुसंधान संस्थान के वैज्ञानिकों ने विकसित की जीरे की नई किस्म,Hindi
संतुलित आहार के द्वारा कोरोना बीमारी का मुकाबला,Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=ATaeKbmZ1ow,https://krishi.icar.gov.in/video/watch/3871,संतुलित आहार के द्वारा कोरोना बीमारी का मुकाबला,Hindi
काजरी के शोध के चलते रेगिस्तान में खजूर की बम्पर पैदावार हो रही है,Natural Resource Management,ICAR-Central Arid Zone Research Institute,youtube,https://www.youtube.com/watch?v=vcIpFDQqXhE,https://krishi.icar.gov.in/video/watch/3870,काजरी के शोध के चलते रेगिस्तान में खजूर की बम्पर पैदावार हो रही है,Hindi
